epoch,step,train_loss,val_score
0,49,2.863370895385742,
0,75,,0.9049673676490784
0,99,2.3090665340423584,
0,149,1.7673872709274292,
0,151,,0.9609979391098022
1,199,1.2877863645553589,
1,228,,0.9639546275138855
1,249,1.2629575729370117,
1,299,1.3787754774093628,
1,304,,0.9704634547233582
2,349,0.9479581117630005,
2,381,,0.9741254448890686
2,399,0.9603473544120789,
2,449,1.119022250175476,
2,457,,0.9672949314117432
3,499,0.36143171787261963,
3,534,,0.9768738746643066
3,549,0.4455093741416931,
3,599,0.5549113750457764,
3,610,,0.9755731821060181
4,649,0.3908274471759796,
4,687,,0.9741756319999695
4,699,0.20003601908683777,
4,749,0.3523557782173157,
4,763,,0.9712610244750977
5,799,0.06304412335157394,
5,840,,0.9732310175895691
5,849,0.1031084805727005,
5,899,0.06851262599229813,
5,916,,0.973323404788971
6,949,0.08649735152721405,
6,993,,0.9744230508804321
6,999,0.028142817318439484,
6,1049,0.010744674131274223,
6,1069,,0.9767082929611206
7,1099,0.006544188130646944,
7,1146,,0.9763630628585815
7,1149,0.011200645007193089,
7,1199,0.008068456314504147,
7,1222,,0.9763404726982117
8,1249,0.002646243665367365,
8,1299,0.002322722692042589,
8,1299,,0.9764539003372192
8,1349,0.008494031615555286,
8,1375,,0.9757389426231384
9,1399,0.003036037553101778,
9,1449,0.0015511532546952367,
9,1452,,0.9761574268341064
9,1499,0.0024042539298534393,
9,1528,,0.9765166640281677
10,1549,0.014547699131071568,
10,1599,0.00127657491248101,
10,1605,,0.9762090444564819
10,1649,0.0023056138306856155,
10,1681,,0.9756587743759155
11,1699,0.0012142662890255451,
11,1749,0.0012910485966131091,
11,1758,,0.9758661389350891
11,1799,0.0013322937302291393,
11,1834,,0.9758070111274719
12,1849,0.0014309942489489913,
12,1899,0.0022127169650048018,
12,1911,,0.9760168194770813
12,1949,0.0009408697369508445,
12,1987,,0.9760516285896301
13,1999,0.00108257494866848,
13,2049,0.0014974803198128939,
13,2064,,0.9757010340690613
13,2099,0.0017186489421874285,
13,2140,,0.9757075309753418
14,2149,0.004527175799012184,
14,2199,0.0015346083091571927,
14,2217,,0.9756447076797485
14,2249,0.0013312166556715965,
14,2293,,0.9754155278205872
