epoch,step,train_loss,val_score
0,49,2.5790839195251465,
0,75,,0.9193301796913147
0,99,2.2841286659240723,
0,149,1.9724807739257812,
0,151,,0.9538269639015198
1,199,1.323089599609375,
1,228,,0.965908944606781
1,249,1.362335205078125,
1,299,1.482778787612915,
1,304,,0.9735172390937805
2,349,0.602137565612793,
2,381,,0.9697781205177307
2,399,0.6766670346260071,
2,449,0.812052845954895,
2,457,,0.9729533791542053
3,499,0.3294548988342285,
3,534,,0.9746360182762146
3,549,0.4363938868045807,
3,599,0.562869668006897,
3,610,,0.9722615480422974
4,649,0.2834444046020508,
4,687,,0.973661482334137
4,699,0.15397566556930542,
4,749,0.21609191596508026,
4,763,,0.9695479869842529
5,799,0.08546813577413559,
5,840,,0.9747530817985535
5,849,0.09003444015979767,
5,899,0.11437255889177322,
5,916,,0.9721459746360779
6,949,0.04561511054635048,
6,993,,0.9753429293632507
6,999,0.03149779513478279,
6,1049,0.02057960443198681,
6,1069,,0.9757382869720459
7,1099,0.02002091519534588,
7,1146,,0.9758107662200928
7,1149,0.03155483677983284,
7,1199,0.005057170521467924,
7,1222,,0.9763242602348328
8,1249,0.002544931136071682,
8,1299,0.0025553300511091948,
8,1299,,0.9766399264335632
8,1349,0.0028165848925709724,
8,1375,,0.9765156507492065
9,1399,0.002292795805260539,
9,1449,0.001975249731913209,
9,1452,,0.9764572978019714
9,1499,0.0017269023228436708,
9,1528,,0.9763645529747009
10,1549,0.022790314629673958,
10,1599,0.002120928606018424,
10,1605,,0.9767361283302307
10,1649,0.006925824098289013,
10,1681,,0.9765071868896484
11,1699,0.0015856565441936255,
11,1749,0.001387118361890316,
11,1758,,0.9768144488334656
11,1799,0.0010388701921328902,
11,1834,,0.9767035841941833
12,1849,0.0018204743973910809,
12,1899,0.0011557125253602862,
12,1911,,0.976827085018158
12,1949,0.001710288692265749,
12,1987,,0.9769393801689148
13,1999,0.0008690038230270147,
13,2049,0.0009007792104966938,
13,2064,,0.976608395576477
13,2099,0.001785630127415061,
13,2140,,0.9766784906387329
14,2149,0.0012717358767986298,
14,2199,0.0030730203725397587,
14,2217,,0.976764976978302
14,2249,0.0008287394884973764,
14,2293,,0.9766452312469482
