epoch,step,train_loss,val_score
0,49,2.7561352252960205,
0,71,,0.9034567475318909
0,99,1.9572656154632568,
0,143,,0.9562287926673889
1,149,1.322320818901062,
1,199,1.0787181854248047,
1,215,,0.9642557501792908
1,249,1.7936509847640991,
1,287,,0.969838559627533
2,299,0.8167042136192322,
2,349,0.8610081076622009,
2,359,,0.9725646376609802
2,399,1.0430493354797363,
2,431,,0.9749911427497864
3,449,0.4447794556617737,
3,499,0.4671315848827362,
3,503,,0.9756845831871033
3,549,0.49828672409057617,
3,575,,0.9727060198783875
4,599,0.26610761880874634,
4,647,,0.9711727499961853
4,649,0.14611229300498962,
4,699,0.2060624212026596,
4,719,,0.9728206992149353
5,749,0.11787769198417664,
5,791,,0.9722731113433838
5,799,0.1036267876625061,
5,849,0.05469457432627678,
5,863,,0.9708459377288818
6,899,0.017972372472286224,
6,935,,0.9738633036613464
6,949,0.016398172825574875,
6,999,0.1077137142419815,
6,1007,,0.9725322723388672
7,1049,0.02524617128074169,
7,1079,,0.9736095070838928
7,1099,0.00853472575545311,
7,1149,0.012549937702715397,
7,1151,,0.973284125328064
8,1199,0.0031490311957895756,
8,1223,,0.9736058712005615
8,1249,0.003043322591111064,
8,1295,,0.9730204939842224
9,1299,0.002991377841681242,
9,1349,0.0023316589649766684,
9,1367,,0.9734827876091003
9,1399,0.002820977009832859,
9,1439,,0.9735822081565857
10,1449,0.011855166405439377,
10,1499,0.003193347482010722,
10,1511,,0.9737448692321777
10,1549,0.007797420956194401,
10,1583,,0.9732496738433838
11,1599,0.011381269432604313,
11,1649,0.0014132700162008405,
11,1655,,0.9738935232162476
11,1699,0.0013097889022901654,
11,1727,,0.9735561013221741
12,1749,0.0017887272406369448,
12,1799,0.0019157330971211195,
12,1799,,0.9736284017562866
12,1849,0.0012057912535965443,
12,1871,,0.9740492105484009
13,1899,0.001330668106675148,
13,1943,,0.9738903641700745
13,1949,0.007868907414376736,
13,1999,0.0011862427927553654,
13,2015,,0.9734712243080139
14,2049,0.0020054231863468885,
14,2087,,0.9740860462188721
14,2099,0.0015516760759055614,
14,2149,0.0014358250191435218,
14,2159,,0.9734329581260681
