epoch,step,train_loss,val_score
0,49,3.0396840572357178,
0,85,,0.9111684560775757
0,99,2.0529098510742188,
0,149,1.6143449544906616,
0,171,,0.9637472033500671
1,199,1.094836711883545,
1,249,1.2621172666549683,
1,257,,0.9729440808296204
1,299,1.4286305904388428,
1,343,,0.9787213802337646
2,349,0.7045270800590515,
2,399,0.7038906812667847,
2,429,,0.9765573740005493
2,449,0.5353441834449768,
2,499,0.7767512798309326,
2,515,,0.9795393943786621
3,549,0.2788892686367035,
3,599,0.20099478960037231,
3,601,,0.9779555201530457
3,649,0.29626601934432983,
3,687,,0.9793121218681335
4,699,0.19420556724071503,
4,749,0.1915305256843567,
4,773,,0.9789407849311829
4,799,0.16807928681373596,
4,849,0.2561226785182953,
4,859,,0.9773856401443481
5,899,0.043898697942495346,
5,945,,0.9755663275718689
5,949,0.06467948853969574,
5,999,0.018537739291787148,
5,1031,,0.9775279760360718
6,1049,0.012074597179889679,
6,1099,0.048070721328258514,
6,1117,,0.9810811281204224
6,1149,0.05508577451109886,
6,1199,0.025785213336348534,
6,1203,,0.9780786633491516
7,1249,0.008835346437990665,
7,1289,,0.9776403307914734
7,1299,0.009267675690352917,
7,1349,0.020940326154232025,
7,1375,,0.9779852628707886
8,1399,0.032066989690065384,
8,1449,0.002249272773042321,
8,1461,,0.9785984754562378
8,1499,0.0029085292480885983,
8,1547,,0.979363203048706
9,1549,0.002507612807676196,
9,1599,0.005986277479678392,
9,1633,,0.9795551896095276
9,1649,0.0007867811364121735,
9,1699,0.002161631127819419,
9,1719,,0.9782520532608032
10,1749,0.0008917385130189359,
10,1799,0.0011043688282370567,
10,1805,,0.9792274832725525
10,1849,0.0006642452790401876,
10,1891,,0.9795616865158081
11,1899,0.0005186450434848666,
11,1949,0.0011330333072692156,
11,1977,,0.9793830513954163
11,1999,0.0011028855806216598,
11,2049,0.0006477118004113436,
11,2063,,0.9793545007705688
12,2099,0.0014222293393686414,
12,2149,0.001105180592276156,
12,2149,,0.9795289039611816
12,2199,0.0005444889538921416,
12,2235,,0.9793877005577087
13,2249,0.0011701120529323816,
13,2299,0.0006065673078410327,
13,2321,,0.9792880415916443
13,2349,0.0005302797071635723,
13,2399,0.00043071829713881016,
13,2407,,0.9796593189239502
14,2449,0.0005498891696333885,
14,2493,,0.9798040986061096
14,2499,0.000499713874887675,
14,2549,0.0031237220391631126,
14,2579,,0.9795386791229248
