epoch,step,train_loss,val_score
0,49,2.6625399589538574,
0,71,,0.9003303647041321
0,99,2.2356975078582764,
0,143,,0.9537944793701172
1,149,1.5079350471496582,
1,199,1.437188982963562,
1,215,,0.9668840765953064
1,249,1.5575625896453857,
1,287,,0.968269944190979
2,299,0.9237604737281799,
2,349,0.6892857551574707,
2,359,,0.9717380404472351
2,399,0.745442271232605,
2,431,,0.972687840461731
3,449,0.5443047285079956,
3,499,0.440137654542923,
3,503,,0.9748757481575012
3,549,0.5529448390007019,
3,575,,0.9734106063842773
4,599,0.12831519544124603,
4,647,,0.972810685634613
4,649,0.18054772913455963,
4,699,0.2159232646226883,
4,719,,0.9710396528244019
5,749,0.14766660332679749,
5,791,,0.9713774919509888
5,799,0.05808575451374054,
5,849,0.1418893188238144,
5,863,,0.9692565202713013
6,899,0.028633156791329384,
6,935,,0.973516047000885
6,949,0.027869664132595062,
6,999,0.07351347804069519,
6,1007,,0.9741361737251282
7,1049,0.011279498226940632,
7,1079,,0.9751795530319214
7,1099,0.006934228353202343,
7,1149,0.003833392634987831,
7,1151,,0.9756528735160828
8,1199,0.0028909132815897465,
8,1223,,0.9762205481529236
8,1249,0.00308456108905375,
8,1295,,0.9759810566902161
9,1299,0.003591942135244608,
9,1349,0.011709249578416348,
9,1367,,0.9762690663337708
9,1399,0.0023431992158293724,
9,1439,,0.9758637547492981
10,1449,0.0017610654467716813,
10,1499,0.0021348712034523487,
10,1511,,0.9759104251861572
10,1549,0.0019272734643891454,
10,1583,,0.9762721657752991
11,1599,0.0017005021218210459,
11,1649,0.0012450560461729765,
11,1655,,0.9762537479400635
11,1699,0.001954815350472927,
11,1727,,0.9761625528335571
12,1749,0.0011885968269780278,
12,1799,0.0013599907979369164,
12,1799,,0.976078450679779
12,1849,0.0011995424283668399,
12,1871,,0.9761822819709778
13,1899,0.001599038951098919,
13,1943,,0.9763732552528381
13,1949,0.0028183499816805124,
13,1999,0.0012328930897638202,
13,2015,,0.9761843085289001
14,2049,0.001003674347884953,
14,2087,,0.9761932492256165
14,2099,0.0014518018579110503,
14,2149,0.0017222012393176556,
14,2159,,0.9762654900550842
