epoch,step,train_loss,val_score
0,49,2.5812971591949463,
0,75,,0.9198126196861267
0,99,2.077754497528076,
0,149,1.7197586297988892,
0,151,,0.9568257331848145
1,199,1.4531103372573853,
1,228,,0.9612089991569519
1,249,1.2814459800720215,
1,299,1.4913911819458008,
1,304,,0.9709355235099792
2,349,0.6908964514732361,
2,381,,0.9693945050239563
2,399,0.6690529584884644,
2,449,0.9109042286872864,
2,457,,0.9686147570610046
3,499,0.5113798975944519,
3,534,,0.9715489745140076
3,549,0.5360730886459351,
3,599,0.4428449273109436,
3,610,,0.9695937037467957
4,649,0.16008691489696503,
4,687,,0.9697721004486084
4,699,0.35110417008399963,
4,749,0.19519458711147308,
4,763,,0.9706512689590454
5,799,0.05421857535839081,
5,840,,0.972027063369751
5,849,0.061380062252283096,
5,899,0.05875919759273529,
5,916,,0.9730685949325562
6,949,0.020142726600170135,
6,993,,0.9733161330223083
6,999,0.015572087839245796,
6,1049,0.0353202186524868,
6,1069,,0.9729136228561401
7,1099,0.015053551644086838,
7,1146,,0.9761725068092346
7,1149,0.009040390141308308,
7,1199,0.00659452099353075,
7,1222,,0.9757822155952454
8,1249,0.0034560984931886196,
8,1299,0.0026784136425703764,
8,1299,,0.9762142896652222
8,1349,0.0025176042690873146,
8,1375,,0.9757800102233887
9,1399,0.002351044677197933,
9,1449,0.0024712607264518738,
9,1452,,0.9760425090789795
9,1499,0.0015836003003641963,
9,1528,,0.9765369892120361
10,1549,0.001014911220408976,
10,1599,0.002315022051334381,
10,1605,,0.9760761260986328
10,1649,0.0017604329623281956,
10,1681,,0.9763027429580688
11,1699,0.0043192976154387,
11,1749,0.0008981747087091208,
11,1758,,0.9765064120292664
11,1799,0.001970352604985237,
11,1834,,0.9762729406356812
12,1849,0.0025575621984899044,
12,1899,0.0016653324710205197,
12,1911,,0.9764630794525146
12,1949,0.008872096426784992,
12,1987,,0.9762423634529114
13,1999,0.0008870763704180717,
13,2049,0.0014101862907409668,
13,2064,,0.9764226078987122
13,2099,0.0009210695861838758,
13,2140,,0.9764074683189392
14,2149,0.003058436093851924,
14,2199,0.0010981847299262881,
14,2217,,0.97648686170578
14,2249,0.0008288854733109474,
14,2293,,0.9764310717582703
