epoch,step,train_loss,val_score
0,49,2.576071262359619,
0,71,,0.913149893283844
0,99,1.7618510723114014,
0,143,,0.9504413604736328
1,149,1.6963661909103394,
1,199,1.591117262840271,
1,215,,0.9618023037910461
1,249,1.1456716060638428,
1,287,,0.9669626951217651
2,299,0.8337967991828918,
2,349,0.7904869914054871,
2,359,,0.9707368016242981
2,399,0.8760052919387817,
2,431,,0.9671106338500977
3,449,0.4099271297454834,
3,499,0.40145745873451233,
3,503,,0.9712861776351929
3,549,0.5389851927757263,
3,575,,0.9711305499076843
4,599,0.26219478249549866,
4,647,,0.9684034585952759
4,649,0.2473217397928238,
4,699,0.207787424325943,
4,719,,0.9698840379714966
5,749,0.07343269884586334,
5,791,,0.9701703786849976
5,799,0.12403865903615952,
5,849,0.09740330278873444,
5,863,,0.9700729846954346
6,899,0.021735945716500282,
6,935,,0.9723362922668457
6,949,0.01236912701278925,
6,999,0.017934372648596764,
6,1007,,0.9711612462997437
7,1049,0.007101193070411682,
7,1079,,0.9728649854660034
7,1099,0.006344590801745653,
7,1149,0.011416318826377392,
7,1151,,0.9736090302467346
8,1199,0.01388052199035883,
8,1223,,0.9736337065696716
8,1249,0.003427732503041625,
8,1295,,0.9733042120933533
9,1299,0.002133026020601392,
9,1349,0.002119573764503002,
9,1367,,0.9742475748062134
9,1399,0.0021229328121989965,
9,1439,,0.9740278720855713
10,1449,0.001305546029470861,
10,1499,0.0019752485677599907,
10,1511,,0.9744200706481934
10,1549,0.0022989718709141016,
10,1583,,0.9741401672363281
11,1599,0.0015041648875921965,
11,1649,0.0008954182849265635,
11,1655,,0.9740902781486511
11,1699,0.001650579390116036,
11,1727,,0.9737792611122131
12,1749,0.0014199544675648212,
12,1799,0.0012488897191360593,
12,1799,,0.9739235639572144
12,1849,0.0011222307803109288,
12,1871,,0.9738037586212158
13,1899,0.0014257937436923385,
13,1943,,0.973929762840271
13,1949,0.0014812723966315389,
13,1999,0.0018583594355732203,
13,2015,,0.9738082885742188
14,2049,0.0013350863009691238,
14,2087,,0.9741136431694031
14,2099,0.0010942736407741904,
14,2149,0.010244403965771198,
14,2159,,0.9736208319664001
