epoch,step,train_loss,val_score
0,49,2.5804696083068848,
0,75,,0.9074739813804626
0,99,2.2396085262298584,
0,149,1.973998785018921,
0,151,,0.9607560634613037
1,199,1.872409701347351,
1,228,,0.9654837250709534
1,249,1.419252872467041,
1,299,1.4662816524505615,
1,304,,0.9742283821105957
2,349,0.6515749096870422,
2,381,,0.9744349122047424
2,399,1.003589391708374,
2,449,0.804249107837677,
2,457,,0.9695747494697571
3,499,0.40687739849090576,
3,534,,0.9778541326522827
3,549,0.5250205993652344,
3,599,0.5973835587501526,
3,610,,0.9754703044891357
4,649,0.24546843767166138,
4,687,,0.975688636302948
4,699,0.21128861606121063,
4,749,0.24402563273906708,
4,763,,0.9772882461547852
5,799,0.15493138134479523,
5,840,,0.9769563674926758
5,849,0.07361065596342087,
5,899,0.1255006492137909,
5,916,,0.9749658107757568
6,949,0.017326615750789642,
6,993,,0.976257860660553
6,999,0.01477639377117157,
6,1049,0.0214968491345644,
6,1069,,0.9759083986282349
7,1099,0.0057168747298419476,
7,1146,,0.9767764806747437
7,1149,0.005396871827542782,
7,1199,0.07532468438148499,
7,1222,,0.9768602848052979
8,1249,0.0205686055123806,
8,1299,0.0029957364313304424,
8,1299,,0.9774090051651001
8,1349,0.0019296830287203193,
8,1375,,0.9774218201637268
9,1399,0.00177780631929636,
9,1449,0.0018833059584721923,
9,1452,,0.9770331978797913
9,1499,0.0022452082484960556,
9,1528,,0.9774813652038574
10,1549,0.0012162256753072143,
10,1599,0.0017078127712011337,
10,1605,,0.9772676229476929
10,1649,0.009370354935526848,
10,1681,,0.9771114587783813
11,1699,0.0012979947496205568,
11,1749,0.005246568936854601,
11,1758,,0.9773326516151428
11,1799,0.000805490359198302,
11,1834,,0.976941704750061
12,1849,0.0015372101916000247,
12,1899,0.0019305275054648519,
12,1911,,0.9770323634147644
12,1949,0.005106687545776367,
12,1987,,0.9770985245704651
13,1999,0.001435252488590777,
13,2049,0.0013204868882894516,
13,2064,,0.9771134257316589
13,2099,0.001736927661113441,
13,2140,,0.9769343137741089
14,2149,0.0012211933499202132,
14,2199,0.001823310274630785,
14,2217,,0.9770156741142273
14,2249,0.0015299252700060606,
14,2293,,0.9771010279655457
