epoch,step,train_loss,val_score
0,49,0.030667148530483246,
0,85,,0.7475149631500244
0,99,0.024725601077079773,
0,149,0.020437585189938545,
0,171,,0.9111917614936829
1,199,0.016108520328998566,
1,249,0.01585434563457966,
1,257,,0.9369775652885437
1,299,0.01585598662495613,
1,343,,0.9484377503395081
2,349,0.01215373445302248,
2,399,0.012494847178459167,
2,429,,0.9624236226081848
2,449,0.011560671031475067,
2,499,0.012125429697334766,
2,515,,0.9744234085083008
3,549,0.009663358330726624,
3,599,0.010288874618709087,
3,601,,0.9645882844924927
3,649,0.010071760974824429,
3,687,,0.9701150059700012
4,699,0.007939315401017666,
4,749,0.008696427568793297,
4,773,,0.9711006283760071
4,799,0.009737741202116013,
4,849,0.009339266456663609,
4,859,,0.9750444293022156
5,899,0.006353938020765781,
5,945,,0.9692175984382629
5,949,0.00835832953453064,
5,999,0.006387492176145315,
5,1031,,0.9703326225280762
6,1049,0.005641142837703228,
6,1099,0.0075571550987660885,
6,1117,,0.9771668314933777
6,1149,0.005557657685130835,
6,1199,0.007940912619233131,
6,1203,,0.975871205329895
7,1249,0.004661181475967169,
7,1289,,0.9717406630516052
7,1299,0.004269154742360115,
7,1349,0.00534772826358676,
7,1375,,0.9734137058258057
8,1399,0.0035862999502569437,
8,1449,0.004361456725746393,
8,1461,,0.9747506976127625
8,1499,0.004311851691454649,
8,1547,,0.9765226244926453
9,1549,0.0037000521551817656,
9,1599,0.0026412121951580048,
9,1633,,0.978000283241272
9,1649,0.002154917921870947,
9,1699,0.002748133148998022,
9,1719,,0.9703601002693176
10,1749,0.0024118046276271343,
10,1799,0.0011817739577963948,
10,1805,,0.9774922728538513
10,1849,0.001469397102482617,
10,1891,,0.9744747877120972
11,1899,0.000984769663773477,
11,1949,0.001332873827777803,
11,1977,,0.9763940572738647
11,1999,0.001095516374334693,
11,2049,0.0008535056258551776,
11,2063,,0.9775859713554382
12,2099,0.000725013145711273,
12,2149,0.0007489342824555933,
12,2149,,0.9776325821876526
12,2199,0.0010264689335599542,
12,2235,,0.9764833450317383
13,2249,0.0009336330695077777,
13,2299,0.0005761762731708586,
13,2321,,0.976845920085907
13,2349,0.0007958807982504368,
13,2399,0.000532649050001055,
13,2407,,0.9758324027061462
14,2449,0.0005430006422102451,
14,2493,,0.9756122827529907
14,2499,0.0005092252395115793,
14,2549,0.000618441088590771,
14,2579,,0.975379467010498
